Type,ID,SedRed,Cost,Duck
WCMO,499,4.217,7583.093,3.39
WCMO,500,18.657,12270.984,7.122
WCMO,501,4.559,7792.717,3.531
WCMO,502,3.568,12868.488,3.058
WCMO,503,16.971,21833.868,6.655
WCMO,504,5.965,7874.903,3.949
WCMO,505,2.773,740.793,2.69
WCMO,506,3.101,6827.089,2.851
WCMO,507,133.756,195946.821,18.853
WCMO,508,10.559,10091.377,5.256
WCMO,509,4.253,12505.839,3.355
WCMO,510,2.742,6615.592,2.682
WCMO,511,8.535,15030.83,4.758
WCMO,512,3.539,1006.926,3.163
WCMO,513,3.218,7241.708,2.901
WCMO,514,4.708,12954.067,3.654
WCMO,515,26.736,23656.15,8.406
WCMO,516,2.117,602.125,2.445
WCMO,517,9.322,14784.678,5.119
WCMO,518,26.709,5771.919,7.531
WCMO,519,10.676,3038.646,5.508
WCMO,520,2.488,635.742,2.526
WCMO,522,3.169,12277.671,3.276
WCMO,523,3.613,995.956,3.238
WCMO,524,8.349,29193.957,4.994
WCMO,526,157.411,142748.092,20.359
WCMO,538,2.14,11195.374,2.674
WCMO,539,3.507,12210.523,2.825
WCMO,540,13.001,9411.724,5.457
WCMO,541,2.75,11198.816,2.504
WCMO,542,4.064,6772.254,3.047
WCMO,543,9.809,8327.136,4.71
WCMO,544,8.773,8828.237,4.501
WCMO,545,2.51,21378.62,2.391
WCMO,546,331.047,526425.647,27.972
WCMO,547,2.808,11542.618,2.552
WCMO,548,2.752,6385.996,2.713
WCMO,549,2.676,646.864,2.486
WCMO,550,4.415,1067.667,3.165
WCMO,551,33.621,29509.889,9.509
WCMO,552,7.583,7968.994,4.518
WCMO,558,3.252,5939.083,3.321
WCMO,559,4.589,6325.568,3.941
WCMO,560,8.11,2606.27,5.472
WCMO,561,2.064,616.349,2.66
WCMO,562,8.23,17460.334,5.296
WCMO,563,5.269,11574.401,4.24
WCMO,581,4.501,11300.053,3.901
WCMO,582,2.717,872.655,3.17
WCMO,583,3.042,977.305,3.359
WCMO,584,3.688,11184.682,3.722
WCMO,585,4.479,6439.073,4.106
WCMO,586,6.155,7028.068,4.869
WCMO,587,6.168,16843.264,4.612
WCMO,588,48.79,47347.023,13.793
WCMO,589,2.601,5896.172,2.429
WCMO,590,3.834,6321.258,2.949
WCMO,591,14.001,17599.113,5.646
WCMO,592,59.787,76429.789,11.659
WCMO,593,6.777,8005.741,3.927
WCMO,594,4.418,6958.687,3.171
WCMO,595,4.675,8525.624,3.681
WCMO,596,7.318,15567.345,4.645
WCMO,597,2.942,11228.646,2.632
WCMO,598,13.646,3165.655,5.679
WCMO,599,5.813,12970.22,3.71
WCMO,600,2.403,5860.527,2.51
WCMO,601,2.548,6697.197,2.585
WCMO,603,2.55,761.6,2.944
WCMO,604,6.586,23669.073,4.738
WCMO,628,10.292,10184.805,5.287
WCMO,629,5.903,1648.703,4.008
WCMO,630,4.423,6335.093,3.043
WCMO,651,5.354,1153.129,3.354
WCMO,652,5.502,6740.22,3.406
WCMO,653,61.551,95677.384,12.1
WCMO,654,14.838,9700.594,5.596
WCMO,655,10.21,8232.073,4.636
WCMO,656,10.643,2294.25,4.755
WCMO,657,7.139,1537.943,3.881
WCMO,658,2.507,11262.566,2.612
WCMO,659,4.148,6311.805,2.958
WCMO,660,6.092,8751.731,4.066
WCMO,661,14.004,22056.133,6.184
