Site_ID,SedRed,Cost,NEAR_FID,Cluster_size,NEAR_DIST,area_m2,Sedrank,NEARrank,bcr
18160,69.835,27740.267000000003,5441,4,74.84198278,62334.89453,2.0,1.0,0.002517459547162974
18167,126.939,22110.356,5441,4,1092.927499,115199.0703,1.0,4.0,0.005741155863795228
11586,22.166,8564.582,5490,1,577.5957025,18572.13867,1.0,1.0,0.0025881006218400385
12743,11.825,12829.263,5651,1,191.3191308,9410.239258,1.0,1.0,0.000921720912573076
15123,9.203,12249.882,5850,1,365.9614719,7483.196289,1.0,1.0,0.0007512725428702088
9932,49.154,12328.514,6108,2,169.561549,38182.92188,2.0,1.0,0.003987017413453074
9937,59.931,10297.751,6108,2,914.5194012,53653.19922,1.0,2.0,0.00581981444297886
10944,6.646,5955.91,6156,4,1549.123001,4980.470703,4.0,4.0,0.0011158664251138784
10946,8.245,6235.893,6156,4,1178.269311,6439.230957,3.0,3.0,0.0013221843286919772
11594,14.323,7300.611999999999,6156,4,1119.487431,11986.61816,2.0,2.0,0.0019618903182363344
10945,96.896,26581.578,6156,4,988.5486938,86393.10938,1.0,1.0,0.0036452312951473385
12503,809.5939999999997,233105.52,6282,1,0.0,742057.6875,1.0,1.0,0.0034730794877787523
17196,5.313,738.688,6287,6,421.01115130000005,3848.702637,6.0,4.0,0.007192481805579622
17199,5.506,759.438,6287,6,455.0827857,3956.814941,5.0,5.0,0.007250098098857313
17201,6.954,7008.371,6287,6,640.4165671000002,5323.566895,4.0,6.0,0.000992241991755288
17200,7.017,6043.687,6287,6,159.5705059,5437.805176,3.0,2.0,0.0011610462288996768
