Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank
14477,5.19,5663.626,4149,597.1735361,3457.616455,2,2
14479,11.445,6701.103,4149,367.0824619,8863.06543,2,1
15501,99.204,22464.786,4305,251.1560928,90994.78906,1,1
14842,4.799,5598.732,4418,1472.935507,3119.503906,5,5
15236,5.046,5666.579,4418,1802.548092,3473.001953,5,4
15234,5.906,10815.227,4418,1192.44064,4247.484375,5,3
15232,15.806,7424.622,4418,699.8680386,12632.73145,5,2
15233,69.228,11567.665,4418,159.0322099,60269.6875,5,1
17614,19.431,3266.502,4469,260.1677948,17019.08203,1,1
14067,5.582,731.313,4474,696.1661464,3810.276611,5,5
13085,5.711,752.739,4474,723.2741076,3921.909912,5,4
13878,9.987,12294.193,4474,382.6490906,7630.575195,5,3
13876,11.649,12727.718,4474,156.279462,9072.49707,5,2
13877,353.479,107432.473,4474,92.39606988,324064.2188,5,1
15171,5.058,5698.198,4692,63.00632306,3637.740234,1,1
10100,40.395,18391.714,4696,486.2794611,31192.66211,1,1
15216,5.939,5820.935,4723,0,4277.222168,5,5
14481,7.451,6038.499,4723,209.2959666,5410.773438,5,4
14480,7.779,11620.614,4723,553.1112405,5694.436523,5,3
15174,8.534,1324.093,4723,45.89696175,6898.771484,5,2
15175,9.831,11557.969,4723,298.5268511,8117.306641,5,1
15440,60.437,37316.472,4845,0,52723.27344,1,1
17131,4.578,10941.988,5054,504.07949,3133.088379,9,9
16457,4.722,10978.718,5054,1354.377153,3255.255127,9,8
17129,8.128,6819.145,5054,1283.776643,6392.022461,9,7
17132,14.001,13358.904,5054,892.7712433,11802.35547,9,6
16436,14.517,7356.419,5054,1554.198771,12277.37988,9,5
16455,27.743,12355.617,5054,670.5839177,24465.06836,9,4
16448,41.763,24740.42,5054,960.1461876,37476.69531,9,3
16456,47.503,17832.732,5054,1192.664902,42682.16797,9,2
17130,274.225,187302.753,5054,167.3924182,249216.3125,9,1
18179,7.314,1085.578,5084,0,5656.064453,2,2
18176,26.351,9459.879,5084,122.020152,23236.79883,2,1
15490,5.235,10731.878,5204,171.0429388,3813.220459,2,2
15489,10.687,11717.679,5204,505.2033992,8949.429688,2,1
13074,10.644,7639.893,5240,199.0431683,8780.387695,4,4
13072,15.117,8889.005,5240,0,12934.98438,4,3
13082,47.655,12745.195,5240,1026.095213,40353.90625,4,2
13081,72.193,11647.978,5240,566.793113,60688.13281,4,1
15498,5.563,10783.405,5299,543.691589,4081.685059,4,4
15499,6.682,5983.731,5299,0,5125.420898,4,3
15496,13.701,2240.506,5299,83.52257009,11673.45215,4,2
15513,16.807,12699.079,5299,653.6644345,14062.70508,4,1
16444,5.537,5770.685,5368,49.14654918,4015.412842,4,4
18174,6.076,5879.4,5368,500.4207696,4581.839356,4,3
18173,6.6,5973.78,5368,734.6290739,5073.575684,4,2
18177,99.235,22185.771,5368,56.60815093,89541.07031,4,1
14824,21.147,3419.761,5372,0,17817.58984,1,1
10916,5.616,674.631,5386,362.4023264,3514.953857,2,2
10917,25.162,3657.15,5386,392.0302563,19054.43164,2,1
19582,5.978,6255.383,5402,251.5838261,4411.103516,3,3
18156,9.324,7132.057,5402,22.26610354,7491.517578,3,2
18157,28.691,12209.269,5402,255.0468851,25331.58008,3,1
18159,32.514,18233.572,5441,640.6803559,28930.72852,4,4
18161,63.278,11010.659,5441,995.9273915,57367.58203,4,3
18160,69.835,27740.267,5441,74.84198278,62334.89453,4,2
18167,126.939,22110.356,5441,1092.927499,115199.0703,4,1
11586,22.166,8564.582,5490,577.5957025,18572.13867,1,1
12743,11.825,12829.263,5651,191.3191308,9410.239258,1,1
15123,9.203,12249.882,5850,365.9614719,7483.196289,1,1
9932,49.154,12328.514,6108,169.561549,38182.92188,2,2
9937,59.931,10297.751,6108,914.5194012,53653.19922,2,1
10944,6.646,5955.91,6156,1549.123001,4980.470703,4,4
10946,8.245,6235.893,6156,1178.269311,6439.230957,4,3
11594,14.323,7300.612,6156,1119.487431,11986.61816,4,2
10945,96.896,26581.578,6156,988.5486938,86393.10938,4,1
12503,809.594,233105.52,6282,0,742057.6875,1,1
17196,5.313,738.688,6287,421.0111513,3848.702637,6,6
17199,5.506,759.438,6287,455.0827857,3956.814941,6,5
17201,6.954,7008.371,6287,640.4165671,5323.566895,6,4
17200,7.017,6043.687,6287,159.5705059,5437.805176,6,3
17198,7.347,1102.826,6287,0,5745.928223,6,2
17197,7.457,1122.395,6287,162.7552066,5847.887207,6,1
15441,40.777,16757.608,6291,440.8412936,35208.39453,5,5
15442,45.747,31225.572,6291,0,39634.10156,5,4
15452,158.382,66561.911,6291,178.1461784,138163.4219,5,3
16451,213.986,111897.809,6291,241.9056309,187021.5781,5,2
15967,262.281,49241.428,6291,131.9661861,230506.0781,5,1
12583,23.763,3834.438,6524,315.2674064,19978.13867,1,1
11583,8.42,6102.047,7139,889.0770353,5741.870117,2,2
11454,40.022,16602.471,7139,375.7308768,34400.10156,2,1
18184,569.362,162945.305,7241,0,519843.0625,1,1
14719,8.287,6272.153,7300,763.8713225,6628.151856,3,3
14716,14.606,7404.491,7300,431.5830006,12527.84473,3,2
15431,101.003,37710.428,7300,896.5113867,92165.96875,3,1
17207,4.511,10588.881,7561,947.9104841,3068.178955,5,5
17206,5.533,5778.021,7561,95.12992388,4053.632324,5,4
17205,6.171,5892.29,7561,209.502774,4648.999512,5,3
17203,10.863,12542.21,7561,600.9424442,8932.694336,5,2
17204,15.343,7508.511,7561,783.4369915,13069.81055,5,1
15172,10.591,6696.131,7562,125.9433115,8837.15918,1,1
15506,6.927,10991.652,7606,2374.120988,5166.69043,1,1
15969,4.609,5583.381,7828,483.2979835,3039.526123,9,9
16433,4.673,5594.257,7828,794.8421178,3096.190186,9,8
16452,5.253,5693.309,7828,1046.968078,3612.267822,9,7
15962,5.729,5810.72,7828,593.4941854,4224.00293,9,6
15968,9.974,6568.406,7828,511.4299831,8171.688477,9,5
16434,18.662,7980.743,7828,966.699041,15530.22559,9,4
15971,47.79,23037.144,7828,139.8262614,43362.05078,9,3
15970,94.998,43776.4,7828,576.3688289,82505.39844,9,2
16435,136.918,27827.014,7828,432.8593047,118932.9922,9,1
13872,6.359,5877.879,8033,289.3473701,4573.915039,1,1
11597,9.215,6362.775,8051,463.4729192,7100.311035,1,1
17193,11.195,1791.647,8192,157.1030112,9334.814453,1,1
12504,6.004,6344.667,8238,287.3260046,4472.414063,3,3
13070,6.183,6394.641,8238,242.8093946,4638.629883,3,2
13071,22.272,10887.116,8238,199.4500819,19580.77734,3,1
10920,6.025,5806.438,8254,534.9635135,4201.692383,6,6
10919,7.334,1076.45,8254,692.1655854,5608.504395,6,5
10915,10.647,11656.715,8254,446.2269252,8631.792969,6,4
10625,27.449,9600.69,8254,923.5777013,23970.44922,6,3
10921,33.574,10404.03,8254,470.1146002,28156.00391,6,2
10918,45.497,12396.939,8254,132.6410683,38539.42969,6,1
15502,5.487,5775.038,8277,159.2327528,4038.093018,2,2
15494,5.653,11193.58,8277,113.6939543,4193.942383,2,1
10102,15.061,12114.846,8317,0,11018.74023,3,3
10101,48.28,20084.623,8317,401.4363377,37485.33594,3,2
10111,112.499,21894.098,8317,0,88021.39844,3,1
14839,4.901,5615.763,8338,859.555138,3208.238281,2,2
15235,10.881,6674.917,8338,1918.875646,8726.626953,2,1
17587,4.674,11314.185,8516,1145.142436,3210.150391,15,15
17578,5.134,11487.295,8516,561.0463815,3633.006104,15,14
17592,6.093,6357.689,8516,1602.366707,4515.727051,15,13
17588,6.706,12079.933,8516,1594.155283,5080.638672,15,12
17571,7.701,12454.897,8516,188.1791669,5996.5625,15,11
17577,9.607,13173.381,8516,471.1510618,7751.59668,15,10
17584,10.468,7568.881,8516,1264.834343,8544.198242,15,9
17594,10.783,13616.521,8516,945.9649794,8834.053711,15,8
17585,11.106,7745.503,8516,1674.571425,9131.651367,15,7
18439,11.183,9767.799,8516,1017.454832,9202.286133,15,6
